order_id,customer_name,items,total_price,status
12345,"John Doe","[{""name"": ""burger"", ""price"": 10.99, ""quantity"": 1}, {""name"": ""fries"", ""price"": 4.99, ""quantity"": 1}]",15.98,COMPLETED
b3b856a0-edb4-480b-a09d-5fda5fb734d3,Sheri Mora,"[{""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 2}, {""name"": ""pizza"", ""price"": 12.99, ""quantity"": 1}, {""name"": ""coke"", ""price"": 2.99, ""quantity"": 1}, {""name"": ""coke"", ""price"": 2.99, ""quantity"": 2}]",39.94,COMPLETED
bdbe51e4-0e39-45c0-aa1a-8e59aced7b29,Jennifer Barrett,"[{""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 2}]",17.98,COMPLETED
03dc1959-d8b3-4c0c-a430-94820b3973be,Erica Barton,"[{""name"": ""fries"", ""price"": 4.99, ""quantity"": 2}, {""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 1}, {""name"": ""pizza"", ""price"": 12.99, ""quantity"": 1}, {""name"": ""spaghetti bolognese"", ""price"": 11.99, ""quantity"": 2}]",55.94,COMPLETED
28deefbe-46a9-48d1-888b-d8eaf453a9ad,Raymond Richardson,"[{""name"": ""spaghetti bolognese"", ""price"": 11.99, ""quantity"": 1}, {""name"": ""spaghetti bolognese"", ""price"": 11.99, ""quantity"": 3}]",47.96,COMPLETED
0b09e2c6-bbda-49d2-8600-ba02eb70806b,Ariana Gray,"[{""name"": ""burger"", ""price"": 10.99, ""quantity"": 1}]",10.99,COMPLETED
e9b4bfbd-1bf8-448a-bb66-6fa88c3c79ee,William Adams,"[{""name"": ""fries"", ""price"": 4.99, ""quantity"": 1}, {""name"": ""coke"", ""price"": 2.99, ""quantity"": 3}]",13.96,COMPLETED
f7c01052-e863-496c-a88a-ab53a04c0fa9,Joseph Roberts,"[{""name"": ""spaghetti bolognese"", ""price"": 11.99, ""quantity"": 1}, {""name"": ""fried chicken"", ""price"": 9.99, ""quantity"": 2}, {""name"": ""burger"", ""price"": 10.99, ""quantity"": 1}, {""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 1}]",51.95,COMPLETED
c05c27c2-7de4-4e12-aba8-c1a318315201,Tiffany Nixon,"[{""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 1}, {""name"": ""fried chicken"", ""price"": 9.99, ""quantity"": 1}, {""name"": ""fried chicken"", ""price"": 9.99, ""quantity"": 2}, {""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 2}]",56.94,COMPLETED
27c20bd0-fae2-42ea-85ad-822e130f55aa,Jonathan Gray,"[{""name"": ""fries"", ""price"": 4.99, ""quantity"": 3}, {""name"": ""pizza"", ""price"": 12.99, ""quantity"": 2}, {""name"": ""coke"", ""price"": 2.99, ""quantity"": 3}, {""name"": ""burger"", ""price"": 10.99, ""quantity"": 3}, {""name"": ""nasi goreng"", ""price"": 8.99, ""quantity"": 1}]",91.88,COMPLETED
718f1de6-f575-47ae-8160-0fb53de9e6a3,Donna Figueroa,"[{""name"": ""burger"", ""price"": 10.99, ""quantity"": 1}, {""name"": ""coke"", ""price"": 2.99, ""quantity"": 1}, {""name"": ""fried chicken"", ""price"": 9.99, ""quantity"": 1}, {""name"": ""spaghetti bolognese"", ""price"": 11.99, ""quantity"": 3}]",59.94,COMPLETED
